date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:57	639/639	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jul%202019%2008:21:28%20GMT	https://aircooleradvisor.org/wp-content/uploads/2019/07/t.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2019/07/t.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:57	839/839	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Jul%202019%2008:21:28%20GMT	https://aircooleradvisor.org/wp-content/uploads/2019/07/g.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2019/07/g.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:57	50868/50868	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2011:12:17%20GMT	https://aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-1-2-4-5-1024x576.jpg	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-1-2-4-5-1024x576.jpg	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:58	60237/60237	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2011:15:31%20GMT	https://aircooleradvisor.org/wp-content/uploads/2020/06/1592305134694_advbanner_.jpg	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2020/06/1592305134694_advbanner_.jpg	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:58	1541292/1541292	---M--	200	added ('OK')	image/gif	date:Mon,%2015%20Jun%202020%2015:06:18%20GMT	https://aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-1-2-3.gif	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-1-2-3.gif	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:58	859/859	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2028%20Aug%202020%2014:31:58%20GMT	https://aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-1-2-4-5-6-1024x576.jpg	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-1-2-4-5-6-1024x576.d.delayed	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:58	127416/127416	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jun%202020%2015:07:16%20GMT	https://aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-review-3.jpg	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-review-3.jpg	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:59	59873/59873	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jun%202020%2015:06:12%20GMT	https://aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-2review.jpg	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-2review.jpg	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:59	16388/16388	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jun%202020%2015:08:46%20GMT	https://aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-side.jpg	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/uploads/2020/06/nexcooler-side.jpg	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:31:59	4534/4534	---M--	200	added ('OK')	image/png	etag:%228eaf64c255e2ca1:0%22	https://images.dmca.com/Badges/DMCA_logo-grn-btn120w.png?ID=135d667d-39eb-45f4-8289-d6fd424ac77f	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/images.dmca.com/Badges/DMCA_logo-grn-btn120w125e.png	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:32:00	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2028%20Aug%202020%2014:31:59%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/www.googletagmanager.com/gtm.125445.delayed	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:32:00	5273/5273	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2025%20Jul%202019%2019:19:44%20GMT	https://aircooleradvisor.org/wp-content/plugins/wp-rocket/assets/js/lazyload/11.0.6/lazyload.min.js	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/plugins/wp-rocket/assets/js/lazyload/11.0.6/lazyload.min.js	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:32:00	214154/214154	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Aug%202020%2006:17:00%20GMT	https://aircooleradvisor.org/wp-content/cache/min/1/532a88785df0fa081a6af4f73940d80d.js	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/cache/min/1/532a88785df0fa081a6af4f73940d80d.js	(from https://aircooleradvisor.org/nexcooler-review-n/)
10:32:01	859/859	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2028%20Aug%202020%2014:32:00%20GMT	https://aircooleradvisor.org/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from https://aircooleradvisor.org/wp-content/cache/min/1/2bca0d3ec48e1027400874233bae6c7e.css)
10:32:01	859/859	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2028%20Aug%202020%2014:32:00%20GMT	https://aircooleradvisor.org/wp-content/themes/flatsome/assets/img/shadow@2x.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/themes/flatsome/assets/img/shadow@2x.png	(from https://aircooleradvisor.org/wp-content/cache/min/1/2bca0d3ec48e1027400874233bae6c7e.css)
10:32:01	859/859	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2028%20Aug%202020%2014:32:01%20GMT	https://aircooleradvisor.org/wp-content/themes/flatsome/assets/img/underline.png	C:/Users/ROBIN/OneDrive/Documents/Websites%20to%20Copied/1project/aircooleradvisor.org/wp-content/themes/flatsome/assets/img/underline.png	(from https://aircooleradvisor.org/wp-content/cache/min/1/2bca0d3ec48e1027400874233bae6c7e.css)
